engine,configuration,runtime_version,model_storage,execution_period,sample,warmup,status,excluded,e2e_s,frames,file_sha256
vllm-omni,t2va-5s-c2,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r2-c1,False,PASS,False,656.078940493986,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c2,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,warmup,True,PASS,False,329.59475305723026,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c4,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,332.3370641861111,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c4,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r0-c1,False,PASS,False,658.865960559342,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c4,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r0-c2,False,PASS,False,985.139646965079,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c4,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r0-c3,False,PASS,False,1308.3853847761638,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c4,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,332.30667290184647,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c4,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r1-c1,False,PASS,False,658.894298621919,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c4,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r1-c2,False,PASS,False,985.4896151227877,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c4,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r1-c3,False,PASS,False,1308.8008671388961,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c4,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,332.8756373198703,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c4,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r2-c1,False,PASS,False,985.7475045942701,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
